Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Seraing,4100,1,house,house,149000,,2,110,1,1,54,185,2,,10646830,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10646830
,Wanze,4520,1,house,house,460000,,4,240,1,,,2600,4,,10657030,as new,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/10657030
,Musson,6750,,apartment,apartment,245000,,4,176,1,,,,2,,10664199,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/musson/6750/10664199
,Berlare,9290,1,house,house,439000,,4,200,1,,,570,4,,10656370,good,https://www.immoweb.be/en/classified/house/for-sale/berlare/9290/10656370
,Trooz,4870,0,house,mixed use building,229000,,3,180,1,,,140,2,,10656202,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/trooz/4870/10656202
,Ronse,9600,1,house,apartment block,349900,,5,226,,1,18,151,2,,10647031,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/ronse/9600/10647031
,Durbuy,6941,1,house,house,495000,,5,451,1,1,1110,1110,3,,10645850,as new,https://www.immoweb.be/en/classified/house/for-sale/durbuy/6941/10645850
,Gent,9000,1,house,house,565000,,4,165,,1,63,101,2,,10666555,as new,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10666555
,Schaerbeek,1030,1,apartment,apartment,195000,,2,91,,,,,2,,10663706,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10663706
,Knokke-Heist,8300,1,apartment,duplex,2990000,,3,184,1,,,,2,,10663950,as new,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8300/10663950
,Willebroek,2830,1,apartment,duplex,305000,,3,140,1,,,,,,10665406,good,https://www.immoweb.be/en/classified/duplex/for-sale/willebroek/2830/10665406
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,305000,,2,94,1,,,,2,,10624441,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10624441
,Libramont-Chevigny,6800,0,apartment,apartment,150000,,1,48,,,,,4,,10656656,as new,https://www.immoweb.be/en/classified/apartment/for-sale/libramont-chevigny/6800/10656656
,Willebroek,2830,1,apartment,apartment,139000,,2,78,1,,,,,,10655080,good,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/10655080
,Liege,4020,1,apartment,apartment,199000,,2,79,1,,,,2,,10654295,good,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/10654295
,Evere,1140,1,apartment,apartment,250000,,2,80,1,,,,2,,10663788,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10663788
,Schaerbeek,1030,1,apartment,apartment,137500,,1,28,1,,,,4,,10654643,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10654643
,Ixelles,1050,1,apartment,apartment,350000,,2,100,,,,,2,,10610567,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10610567
,Jette,1090,1,apartment,apartment,240000,,2,118,1,,,,2,,10654221,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10654221
,Evere,1140,1,apartment,apartment,385000,,2,100,1,,,,2,,10668996,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10668996
,Brussels City,1000,1,apartment,apartment,237500,,1,54,1,,,,2,,10654642,good,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10654642
,Antwerp,2100,1,apartment,apartment,210000,,2,80,1,,,,2,,10653804,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2100/10653804
,Woluwe-Saint-Pierre,1150,1,apartment,duplex,510000,isUnderOption,2,110,1,,,,2,,10653908,as new,https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/10653908
,Molenbeek-Saint-Jean,1080,1,apartment,duplex,280000,,3,165,,,,,2,,10653694,good,https://www.immoweb.be/en/classified/duplex/for-sale/molenbeek-saint-jean/1080/10653694
,Bruxelles,1000,1,apartment,apartment,499000,,1,81,1,,,,,,10663549,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10663549
,Uccle,1180,1,apartment,penthouse,415000,,2,92,1,,,,2,,10663541,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10663541
,Boom,2850,1,apartment,apartment,210000,,2,82,1,,,,3,,10660365,good,https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/10660365
,Mechelen,2800,1,apartment,apartment,163000,,2,72,1,,,,3,,10661968,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/10661968
,Uccle,1180,1,apartment,apartment,475000,,3,132,1,,,,2,,10663542,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10663542
,Ixelles,1050,1,apartment,apartment,765000,,2,119,1,,,,2,,10663545,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10663545
,Woluwe-Saint-Pierre,1150,1,apartment,apartment,220000,,1,55,1,,,,2,,10659996,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10659996
,Evere,1140,1,apartment,flat studio,235000,,0,48,1,,,,2,,10662365,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/evere/1140/10662365
,Beveren,9120,1,house,house,330000,,3,137,1,1,171,248,2,,10658484,as new,https://www.immoweb.be/en/classified/house/for-sale/beveren/9120/10658484
,Woluwe-Saint-Pierre,1150,1,house,house,725000,,4,189,,1,24,120,2,,10656328,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10656328
,Grimbergen,1853,1,house,exceptional property,715000,,4,321,1,,,437,3,,10669451,just renovated,https://www.immoweb.be/en/classified/exceptional-property/for-sale/grimbergen/1853/10669451
,Waterloo,1410,1,house,house,395000,,3,165,1,,,311,2,,10664489,good,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10664489
,Sprimont,4140,1,house,villa,975000,,6,345,1,,,4400,4,1,10668844,good,https://www.immoweb.be/en/classified/villa/for-sale/sprimont/4140/10668844
,Gavere,9890,1,house,house,362500,,3,174,1,1,15,198,2,,10663836,as new,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10663836
,Wilrijk,2610,1,house,house,415000,,2,190,,,,94,,,10607273,good,https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/10607273
,Wielsbeke,8710,1,house,villa,550000,,4,250,1,,,801,4,,10665450,good,https://www.immoweb.be/en/classified/villa/for-sale/wielsbeke/8710/10665450
,SINT-AMANDS,2890,1,house,house,268000,,2,156,1,,,202,3,,10361144,good,https://www.immoweb.be/en/classified/house/for-sale/sint-amands/2890/10361144
,Gavere,9890,1,house,house,389500,,3,197,1,1,16,223,3,,10663835,as new,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10663835
,Merksem,2170,,house,house,285000,,2,163,,1,145,215,2,,10655551,to renovate,https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/10655551
,SINAAI,9112,1,house,house,349000,,3,198,,,,372,3,,10654635,good,https://www.immoweb.be/en/classified/house/for-sale/sinaai/9112/10654635
,Diest,3290,1,house,house,359000,,3,220,1,1,80,216,3,,10654262,good,https://www.immoweb.be/en/classified/house/for-sale/diest/3290/10654262
,Beersel,1650,1,house,apartment block,395000,,2,164,1,,,240,3,,10655069,to be done up,https://www.immoweb.be/en/classified/apartment-block/for-sale/beersel/1650/10655069
,Gent,9000,1,house,mixed use building,495000,,6,295,1,,,365,3,,10655537,to restore,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/gent/9000/10655537
,Rixensart,1330,1,house,house,735000,,4,225,1,1,2000,3700,4,,10654079,good,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10654079
,Eeklo,9900,1,house,villa,469000,,4,211,1,1,187,600,4,1,10657382,good,https://www.immoweb.be/en/classified/villa/for-sale/eeklo/9900/10657382
,Woluwe-Saint-Pierre,1150,1,house,villa,1050000,,4,210,1,1,300,592,4,,10653912,as new,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/10653912
,Laeken,1020,1,house,apartment block,849000,,6,300,1,1,40,185,2,,10662656,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/laeken/1020/10662656
,Ixelles,1050,1,house,apartment block,845000,,5,490,1,1,273,415,2,,10654936,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/10654936
,Uccle,1180,1,house,mixed use building,620000,,2,176,,1,90,165,2,,10662921,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/uccle/1180/10662921
,Nieuwpoort,8620,1,house,house,448000,,3,225,1,,,781,3,,10661232,to renovate,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10661232
,Uccle,1180,,house,house,875000,,5,315,1,1,1000,1500,4,,10659977,to be done up,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10659977
,Schaerbeek,1030,0,house,house,425000,,6,230,1,1,30,105,2,,10668177,to renovate,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10668177
,Sint-Joost-ten-Node,1210,1,house,apartment block,465000,,5,230,1,,,98,2,,10455486,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/sint-joost-ten-node/1210/10455486
,Aubange Halanzy,6792,1,house,house,265000,,3,200,1,1,1060,1260,4,,10666692,to be done up,https://www.immoweb.be/en/classified/house/for-sale/aubange%20halanzy/6792/10666692
,Ronse,9600,1,house,country cottage,350000,,3,147,1,,,3535,4,,10487393,to renovate,https://www.immoweb.be/en/classified/country-cottage/for-sale/ronse/9600/10487393
,Waregem,8790,1,house,bungalow,265000,,3,105,,,,497,4,,10667248,good,https://www.immoweb.be/en/classified/bungalow/for-sale/waregem/8790/10667248
,Ternat,1742,1,house,house,380000,,4,208,1,,,417,3,,10666751,as new,https://www.immoweb.be/en/classified/house/for-sale/ternat/1742/10666751
,Laeken,1020,1,house,house,469000,,4,162,1,1,171,343,3,,10666352,as new,https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/10666352
,Hoboken,2660,,apartment,apartment,239000,,3,100,1,,,,2,,10662984,as new,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/10662984
,Bruxelles,1000,1,apartment,penthouse,326000,,2,81,1,,,,3,,10649101,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10649101
,LIEZELE,2870,1,apartment,apartment,299000,,2,108,1,,,,,,10662139,good,https://www.immoweb.be/en/classified/apartment/for-sale/liezele/2870/10662139
,Bruxelles,1000,1,apartment,duplex,249000,,1,90,,,,,2,,10662541,good,https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/10662541
,Bruxelles,1000,1,apartment,apartment,325000,,2,92,,,,,4,,10649091,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649091
,Bruxelles,1000,1,apartment,apartment,308000,,2,82,1,,,,3,,10649102,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649102
,Bruxelles,1000,1,apartment,apartment,279000,,1,74,1,,,,4,,10649080,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649080
,Bruxelles,1000,1,apartment,apartment,330000,,2,91,1,,,,4,,10649081,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649081
,Bruxelles,1000,1,apartment,apartment,340000,,1,80,1,,,,4,,10649093,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649093
,Bruxelles,1000,1,apartment,apartment,360000,,2,99,1,,,,4,,10649084,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649084
,Bruxelles,1000,1,apartment,apartment,361000,,2,92,1,,,,4,,10649086,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649086
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,370000,,2,85,1,,,,2,,10669119,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669119
,Uccle,1180,,apartment,apartment,375000,,2,114,1,,,,4,,10662681,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10662681
,Bruxelles,1000,1,apartment,apartment,372000,,2,96,1,,,,4,,10649083,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649083
,Bruxelles,1000,1,apartment,penthouse,484000,,3,126,1,,,,4,,10649087,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10649087
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,369000,,2,85,1,,,,2,,10669121,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669121
,Deinze,9800,1,apartment,apartment,245000,,1,63,1,,,,2,,10654030,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10654030
,Deinze,9800,1,apartment,apartment,330000,,2,96,1,,,,2,,10654031,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10654031
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,398000,,2,94,1,,,,2,,10669122,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669122
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,398000,,2,95,1,,,,2,,10669120,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669120
,Ronse,9600,1,apartment,apartment,219000,,2,125,1,,,,2,,10652947,good,https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/10652947
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,459000,,2,108,1,,,,2,,10669118,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669118
,Deinze,9800,1,apartment,penthouse,370000,,2,82,1,,,,2,,10654027,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/deinze/9800/10654027
,Deinze,9800,1,apartment,apartment,395000,,2,99,1,,,,2,,10654029,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10654029
,Deinze,9800,1,apartment,penthouse,395000,,2,85,1,,,,2,,10654028,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/deinze/9800/10654028
,Oupeye,4680,1,apartment,apartment,239000,,3,124,1,1,46,,4,,10651407,good,https://www.immoweb.be/en/classified/apartment/for-sale/oupeye/4680/10651407
,Huy,4500,1,apartment,apartment,229000,isUnderOption,2,80,1,,,,,,10650756,good,https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10650756
,Antwerp,2018,1,apartment,apartment,270000,,1,52,1,,,,2,,10651014,as new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/10651014
,Liège,4030,1,house,house,480000,,4,200,1,1,1450,2183,4,,10666409,good,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4030/10666409
,Meerdonk,9170,1,house,house,469000,,4,190,,,,820,4,,10668280,good,https://www.immoweb.be/en/classified/house/for-sale/meerdonk/9170/10668280
,Rijkevorsel,2310,,house,house,519000,,3,182,,,,614,4,,10667352,good,https://www.immoweb.be/en/classified/house/for-sale/rijkevorsel/2310/10667352
,Vilvoorde Koningslo,1800,1,house,house,469000,,4,162,1,1,171,343,3,,10666349,as new,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde%20koningslo/1800/10666349
,Gavere,9890,1,house,house,357500,,3,171,1,1,15,195,2,,10661828,as new,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10661828
,Woluwe-Saint-Pierre,1150,1,house,house,840000,,5,244,1,,,0,3,,10666312,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10666312
,LIPPELO,2890,1,house,villa,1195000,,4,512,,,,12027,4,1,10668398,good,https://www.immoweb.be/en/classified/villa/for-sale/lippelo/2890/10668398
,Wavre,1300,1,house,house,895000,,5,420,1,,,800,4,,10666500,,https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/10666500
,Gavere,9890,1,house,house,367500,,3,176,1,1,15,200,2,,10661829,as new,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10661829
,Gavere,9890,1,house,house,362500,,3,174,1,1,15,198,3,,10661827,as new,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10661827
,Ronse,9600,1,house,house,299000,,4,200,1,1,83,207,2,,10651255,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10651255
,Geraardsbergen,9500,1,house,mansion,499750,,8,340,1,,,400,2,,10668167,good,https://www.immoweb.be/en/classified/mansion/for-sale/geraardsbergen/9500/10668167
,Mechelen,2800,1,house,house,169000,,2,58,,,,32,2,,10651498,to renovate,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10651498
,CLAVIER-STATION,4560,1,house,house,335000,,4,160,1,,,638,4,,10651986,good,https://www.immoweb.be/en/classified/house/for-sale/clavier-station/4560/10651986
,Huy,4500,1,house,house,320000,,3,180,1,,,1297,4,,10652377,to renovate,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10652377
,La Louvière Haine-Saint-Pierre,7100,1,house,apartment block,325000,,0,203,1,,,400,2,,10651269,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/la%20louvi%C3%A8re%20haine-saint-pierre/7100/10651269
,Dendermonde,9200,1,house,house,345000,isUnderOption,3,156,,,,270,2,,10651230,just renovated,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10651230
,Rixensart Genval,1332,1,house,villa,349000,,3,112,1,1,897,984,4,,10651430,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/rixensart%20genval/1332/10651430
,Flobecq,7880,1,house,villa,735000,,3,404,1,,,3344,4,,10652951,good,https://www.immoweb.be/en/classified/villa/for-sale/flobecq/7880/10652951
,Uccle,1180,1,house,house,1695000,,6,448,1,1,900,1140,4,,10652878,as new,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10652878
,Waregem,8790,1,house,house,469000,,3,220,1,,,594,3,,10652924,good,https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/10652924
,LONZEE,5030,0,house,house,250000,,2,120,,1,200,427,3,,10665402,to renovate,https://www.immoweb.be/en/classified/house/for-sale/lonzee/5030/10665402
,Waterloo,1410,1,house,villa,640000,,4,200,1,,,658,4,,10658506,good,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10658506
,SOLIÈRES,4500,1,house,house,349000,,4,238,1,,,1280,4,,10665684,good,https://www.immoweb.be/en/classified/house/for-sale/soli%C3%88res/4500/10665684
,Braine-le-Château,1440,1,house,villa,1650000,,4,414,1,1,1000,2400,6,1,10651620,as new,https://www.immoweb.be/en/classified/villa/for-sale/braine-le-ch%C3%A2teau/1440/10651620
,MONS-LEZ-LIÈGE,4400,1,house,house,239000,,4,110,,1,495,601,3,,10664723,good,https://www.immoweb.be/en/classified/house/for-sale/mons-lez-li%C3%88ge/4400/10664723
,Herzele,9550,1,house,bungalow,395000,,3,210,1,,,719,4,,10663715,good,https://www.immoweb.be/en/classified/bungalow/for-sale/herzele/9550/10663715
