Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Knokke-Heist,8300,1,apartment,apartment,940000,,2,54,,,,,2,,9214856,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/9214856
,Knokke-Heist,8301,1,apartment,apartment,979000,,2,80,,,,,,,10541587,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8301/10541587
,Knokke-Heist,8300,1,apartment,apartment,1850000,,3,201,,,,,3,1,10622460,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10622460
,Uccle,1180,1,apartment,apartment,1150000,,3,165,1,1,350,,4,,10602414,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10602414
,Uccle,1180,1,apartment,apartment,920000,,3,236,1,,,,2,,10449396,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10449396
,Uccle,1180,1,apartment,apartment,1950000,,3,227,1,,,,4,,10421512,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10421512
,Ixelles,1050,1,apartment,duplex,1100000,,3,165,1,,,,2,,10616440,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10616440
,Knokke-Heist,8300,1,apartment,apartment,1875000,,3,115,1,,,,2,,10398418,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10398418
,Knokke-Heist,8300,1,apartment,apartment,1595000,,2,95,1,,,,2,,10538127,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10538127
,Knokke-Heist Knokke,8300,1,apartment,apartment,1995000,,2,89,1,,,,2,,10541574,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist%20knokke/8300/10541574
,Knokke-Heist,8300,1,apartment,duplex,1250000,,4,121,1,,,,2,,10572770,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8300/10572770
,Knokke-Heist,8300,1,apartment,apartment,1995000,,4,141,1,,,,4,,10040920,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10040920
,Forest,1190,1,apartment,apartment,1200000,,3,315,,,,,2,,9553014,as new,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/9553014
,Knokke-Heist,8300,1,apartment,apartment,2125000,,3,117,1,,,,2,,10537083,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10537083
,Knokke-Heist,8300,1,apartment,apartment,1995000,,2,81,1,,,,2,,10538849,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10538849
,Knokke-Heist,8300,1,apartment,apartment,2395000,,3,108,1,,,,2,,10261738,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10261738
,Knokke-Heist Knokke,8300,,apartment,apartment,2250000,,2,97,1,,,,2,,10353960,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist%20knokke/8300/10353960
,Antwerpen,2000,1,apartment,penthouse,3200000,,2,220,1,,,,3,,10371856,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen/2000/10371856
,Ixelles,1050,1,apartment,penthouse,570000,,2,85,1,,,,2,,10656345,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10656345
,Knokke-Heist,8300,1,apartment,penthouse,2195000,,2,129,1,,,,2,,10349006,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/10349006
,Deinze,9800,1,apartment,apartment,245000,,1,82,1,,,,,,10663071,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663071
,Knokke-Heist,8300,1,apartment,apartment,2800000,,4,180,1,1,312,,3,,10572578,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10572578
,Messancy Wolkrange,6780,1,apartment,apartment,357690,,3,119,1,,,,,,10660395,,https://www.immoweb.be/en/classified/apartment/for-sale/messancy%20wolkrange/6780/10660395
,Woluwe-Saint-Lambert,1200,1,apartment,flat studio,225000,,0,40,,,,,2,,10660182,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/10660182
,Woluwe-Saint-Lambert,1200,1,apartment,flat studio,240000,,0,40,,,,,2,,10660184,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/10660184
,Knokke-Heist,8300,1,apartment,duplex,2990000,,3,181,1,,,,2,,10157726,as new,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8300/10157726
,Gent,9000,1,apartment,service flat,260000,,1,61,1,,,,4,,10660265,,https://www.immoweb.be/en/classified/service-flat/for-sale/gent/9000/10660265
,Esneux,4130,,house,house,68000,,2,70,,1,130,200,4,,10652236,to renovate,https://www.immoweb.be/en/classified/house/for-sale/esneux/4130/10652236
,Mont-Saint-Guibert,1435,,house,villa,3790000,,6,550,1,,,160737,4,1,10651693,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/mont-saint-guibert/1435/10651693
,Seraing,4100,1,house,house,35000,isLifeAnnuitySale,4,177,1,1,450,659,3,,10658468,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10658468
